OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,INSTALL_MO,INSTALL_YR,UPDATE_MO,UPDATE_YR,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
11,27570000,,ARGUELLO BLVD,SACRAMENTO ST,MIXING ZONE,1,10,2016,,,POINT (-122.45924 37.786617),10,8,6,31,10
146,24272000,,8TH ST,FOLSOM ST,INTERSECTION SHARROW,2,6,2019,,,POINT (-122.41005 37.774986),32,1,10,34,32
27,24437000,,POLK ST,GROVE ST,BIKE SIGNAL,2,,2014,,,POINT (-122.41821 37.778484),21,4,10,36,21
141,24402000,,VALENCIA ST,CLINTON PARK,INTERSECTION SHARROW,2,5,2019,,,POINT (-122.422295 37.76927),53,3,2,20,53
98,26036000,,OAK ST,BRODERICK ST,BIKE BOX,1,,2013,,,POINT (-122.43907 37.77292),112,7,11,3,112
54,24269000,,FOLSOM ST,RODGERS ST,INTERSECTION SHARROW,1,1,2018,,,POINT (-122.40947 37.775448),32,1,10,34,32
172,26383000,"N,S",MASONIC AVE,GOLDEN GATE AVE,INTERSECTION SHARROW,2,8,2019,,,POINT (-122.44683 37.777664),97,7,11,18,97
34,25878000,,14TH ST,MARKET ST,MIXING ZONE,1,11,2016,,,POINT (-122.42864 37.76773),37,3,5,5,37
6,30746000,,MARKET ST,10TH ST/POLK ST,TWO-STAGE LEFT,2,,2014,,,POINT (-122.41749 37.776535),32,5,10,34,32
46,25878000,,14TH ST,MARKET ST,TWO-STAGE LEFT,1,,2014,,,POINT (-122.42864 37.76773),37,3,5,5,37
194,25806000,,MARKET ST,SANCHEZ ST,INTERSECTION SHARROW,1,11,2016,,,POINT (-122.431015 37.76586),37,3,5,5,37
86,30748000,,MARKET ST,VAN NESS AVE,INTERSECTION SHARROW,3,,2011,,,POINT (-122.41924 37.775143),32,1,10,20,32
168,24305000,,HOWARD ST,9TH ST,INTERSECTION SHARROW,1,12,2018,,,POINT (-122.41315 37.774986),32,1,10,34,32
96,25967000,,WEBSTER ST,MCALLISTER ST,TWO-STAGE LEFT,2,,2015,,,POINT (-122.43003 37.778847),97,4,11,39,97
163,24265000,,HOWARD ST,7TH ST,INTERSECTION SHARROW,1,12,2018,,,POINT (-122.40937 37.777973),32,1,10,34,32
105,24298000,,8TH ST,TEHAMA ST,INTERSECTION SHARROW,1,5,2017,,,POINT (-122.41106 37.775787),32,1,10,34,32
132,25315000,,POLK ST,BROADWAY,TWO-STAGE LEFT,2,5,2019,,,POINT (-122.42175 37.79594),105,4,3,32,105
183,22267000,,BOSWORTH ST,ELK ST,INTERSECTION SHARROW,2,7,2017,,,POINT (-122.43992 37.73485),96,9,5,41,96
76,25991000,,STEINER ST,WALLER ST,INTERSECTION SHARROW,3,,2012,,,POINT (-122.43189 37.770958),28,7,11,9,28
188,25804000,,MARKET ST,16TH ST,MIXING ZONE,1,11,2016,,,POINT (-122.43306 37.76419),38,3,5,5,38
23,25909000,"W, E",PAGE ST,OCTAVIA ST,BIKE BOX,2,2,2016,,,POINT (-122.42404 37.77387),26,4,11,9,26
80,25999000,,HAIGHT ST,PIERCE ST,INTERSECTION SHARROW,3,,2012,,,POINT (-122.43372 37.771683),26,4,11,3,26
177,23609000,,INDIANA ST,25TH ST,CROSSBIKE,1,11,2019,,,POINT (-122.39067 37.75266),56,2,9,1,56
157,30758000,,MARKET ST,DUBOCE AVE,INTERSECTION SHARROW,8,11,2016,,,POINT (-122.42629 37.769596),37,3,5,20,37
326,24382000,E,VALENCIA ST,BROSNAN ST,INTERSECTION SHARROW,1,5,2019,,,POINT (-122.42224 37.76875),53,3,2,20,53
67,21177000,,FOLSOM,CESAR CHAVEZ,TWO-STAGE LEFT,1,,2015,,,POINT (-122.41366 37.74825),83,3,2,2,83
192,25814000,,MARKET ST,CASTRO ST,INTERSECTION SHARROW,1,11,2016,,,POINT (-122.43517 37.762665),38,3,5,5,38
209,23944000,E,5TH ST,HOWARD ST,INTERSECTION SHARROW,3,3,2019,,,POINT (-122.40492 37.781494),32,1,10,34,32
9,33614000,,9TH ST,DIVISION ST,INTERSECTION SHARROW,4,12,2016,,,POINT (-122.4062 37.76946),33,3,9,20,33
213,24378000,,VALENCIA ST,14TH ST,TWO-STAGE LEFT,2,5,2019,,,POINT (-122.42219 37.768135),53,3,2,20,53
92,24524000,,FOLSOM ST,ESSEX ST,BIKE SIGNAL,2,3,2016,,,POINT (-122.39563 37.786373),30,1,10,8,30
101,23273000,,8TH ST,CLEMENTINA ST,INTERSECTION SHARROW,1,5,2017,,,POINT (-122.4106 37.775425),32,1,10,34,32
167,23946000,E,HOWARD ST,6TH ST,INTERSECTION SHARROW,1,12,2018,,,POINT (-122.40714 37.779736),32,1,10,34,32
41,25909000,,PAGE ST,OCTAVIA ST,INTERSECTION SHARROW,5,2,2016,2,2020,POINT (-122.42404 37.77387),26,4,11,9,26
129,25181000,,POLK ST,MYRTLE ST,INTERSECTION SHARROW,2,5,2019,,,POINT (-122.419624 37.785427),20,4,10,36,20
37,26758000,,BUCHANAN ST,MARINA BLVD,BIKE SIGNAL,2,,2013,,,POINT (-122.433784 37.80504),17,4,6,13,17
77,26764000,,BAY ST,FILLMORE ST,INTERSECTION SHARROW,1,,2015,,,POINT (-122.43668 37.802624),17,4,6,13,17
